,id_left,id_right
0,1478,1263
1,1478,1261
2,1478,1256
3,1478,1216
4,1478,1214
5,1478,1200
6,1478,1194
7,1478,1165
8,1478,1125
9,1478,1121
10,1478,1115
11,1478,1108
12,1478,1092
13,1478,1079
14,1478,1070
15,1478,1048
16,1478,911
17,1478,856
18,1478,855
19,1478,843
20,1478,822
21,1478,577
22,1478,493
23,85,1974
24,338,1974
25,1509,1974
26,2488,5238
27,2488,4310
28,1284,1478
29,1342,1478
30,1417,1478
31,1418,1478
32,1432,1478
33,1442,1478
34,1465,1478
35,1470,1478
36,1478,1470
37,1478,1465
38,1478,1442
39,1478,1432
40,1478,1417
41,1478,1418
42,1478,1342
43,1478,1284
44,1478,4155
45,101,2107
46,135,2496
47,287,2496
48,297,2496
49,297,301
50,301,2496
51,301,297
52,309,311
53,311,309
54,317,2496
55,375,2496
56,507,620
57,532,2496
58,535,2496
59,568,2496
60,580,2496
61,582,2496
62,585,2496
63,589,2496
64,593,2496
65,602,2496
66,602,627
67,605,2496
68,620,507
69,626,2496
70,626,633
71,627,2496
72,627,602
73,633,2496
74,633,626
75,639,2496
76,643,2496
77,648,2496
78,654,2496
79,655,2496
80,686,2496
81,717,2496
82,753,2496
83,796,2496
84,817,2496
85,823,2496
86,1031,2496
87,1035,1217
88,1039,1217
89,1066,1217
90,1079,1217
91,1094,1217
92,1098,1217
93,1144,1175
94,1149,2496
95,1175,1144
96,1211,1220
97,1214,2496
98,1217,1098
99,1217,1094
100,1217,1079
101,1217,1066
102,1217,1039
103,1217,1035
104,1220,1224
105,1220,1211
106,1223,2496
107,1224,1220
108,1227,1231
109,1231,1227
110,1234,1238
111,1238,2496
112,1238,1234
113,1243,2496
114,1243,1246
115,1246,1243
116,1247,2496
117,1251,2496
118,1415,2496
119,1508,1711
120,1665,2496
121,1684,2496
122,1696,1711
123,1711,1696
124,1711,1508
125,1726,2496
126,1883,2496
127,1884,2496
128,1990,2496
129,2157,2496
130,2188,2496
131,2299,2301
132,2299,2496
133,2300,2302
134,2301,2299
135,2302,2307
136,2302,2300
137,2307,2312
138,2307,2302
139,2312,2315
140,2312,2307
141,2315,2316
142,2315,2312
143,2316,2323
144,2316,2315
145,2323,2316
146,2327,2332
147,2332,2335
148,2332,2327
149,2335,2344
150,2335,2332
151,2344,2349
152,2344,2335
153,2349,2360
154,2349,2344
155,2360,2373
156,2360,2349
157,2373,2379
158,2373,2360
159,2379,2384
160,2379,2373
161,2384,2379
162,2389,2397
163,2397,2401
164,2397,2389
165,2401,2404
166,2401,2397
167,2404,2407
168,2404,2401
169,2407,2409
170,2407,2404
171,2409,2410
172,2409,2407
173,2410,2409
174,2451,2496
175,2496,2451
176,2496,2299
177,2496,2188
178,2496,2157
179,2496,1990
180,2496,1884
181,2496,1883
182,2496,1726
183,2496,1684
184,2496,1665
185,2496,1415
186,2496,1247
187,2496,1238
188,2496,1223
189,2496,1214
190,2496,1149
191,2496,1031
192,2496,823
193,2496,817
194,2496,796
195,2496,753
196,2496,717
197,2496,686
198,2496,654
199,2496,655
200,2496,648
201,2496,643
202,2496,639
203,2496,633
204,2496,626
205,2496,627
206,2496,605
207,2496,602
208,2496,593
209,2496,589
210,2496,585
211,2496,582
212,2496,580
213,2496,568
214,2496,535
215,2496,532
216,2496,375
217,2496,317
218,2496,301
219,2496,297
220,2496,287
221,2496,135
222,2496,2109
223,2496,1251
224,2496,1243
225,2997,3105
226,2997,2999
227,2999,2997
228,3006,3011
229,3011,3016
230,3011,3006
231,3016,3026
232,3016,3011
233,3026,3027
234,3026,3016
235,3027,3031
236,3027,3026
237,3031,3082
238,3031,3027
239,3082,3100
240,3082,3031
241,3100,3082
242,3105,2997
243,3257,4155
244,3278,4155
245,3558,4155
246,3681,3691
247,3691,3681
248,3691,4155
249,3699,4155
250,3705,4155
251,3739,4155
252,3861,3868
253,3861,4155
254,3868,3861
255,3902,4155
256,4155,1478
257,4155,3902
258,4155,3861
259,4155,3739
260,4155,3705
261,4155,3699
262,4155,3691
263,4155,3558
264,4155,3278
265,4155,3257
266,35,43
267,35,80
268,43,46
269,43,35
270,46,96
271,46,43
272,80,35
273,80,1536
274,96,99
275,96,46
276,99,403
277,99,96
278,204,212
279,212,216
280,212,204
281,216,224
282,216,212
283,224,216
284,228,403
285,339,403
286,344,403
287,391,403
288,403,409
289,403,391
290,403,339
291,403,228
292,403,344
293,403,99
294,409,403
295,409,2109
296,420,2109
297,449,2109
298,511,2109
299,544,2109
300,715,2109
301,829,2109
302,868,2109
303,901,2109
304,940,2109
305,1176,2109
306,1181,2109
307,1209,1211
308,1209,2109
309,1211,1209
310,1211,2109
311,1241,2109
312,1269,2109
313,1281,2109
314,1286,2109
315,1289,2109
316,1290,1291
317,1291,1290
318,1298,2109
319,1316,1318
320,1318,1316
321,1363,2109
322,1368,2109
323,1374,2109
324,1379,2109
325,1397,2109
326,1413,1414
327,1414,1413
328,1422,2109
329,1463,1468
330,1468,1463
331,1504,2109
332,1505,2109
333,1939,2109
334,1947,2109
335,1953,2107
336,1958,2109
337,1970,1975
338,1970,1974
339,1971,1976
340,1974,1970
341,1975,1970
342,1976,1971
343,1987,2107
344,2007,2107
345,2018,2107
346,2059,2107
347,2107,101
348,2107,2059
349,2107,2018
350,2107,2007
351,2107,1987
352,2107,1953
353,2109,2496
354,2109,420
355,2109,409
356,2109,1958
357,2109,1947
358,2109,1939
359,2109,1298
360,2109,1289
361,2109,1286
362,2109,1281
363,2109,1269
364,2109,1241
365,2109,1211
366,2109,1209
367,2109,1181
368,2109,1176
369,2109,940
370,2109,901
371,2109,868
372,2109,829
373,2109,715
374,2109,544
375,2109,511
376,2109,449
377,2109,1505
378,2109,1504
379,2109,1422
380,2109,1397
381,2109,1379
382,2109,1374
383,2109,1368
384,2109,1363
385,129,188
386,129,130
387,130,131
388,130,129
389,131,132
390,131,130
391,132,134
392,132,131
393,134,137
394,134,132
395,137,142
396,137,134
397,142,144
398,142,137
399,144,145
400,144,142
401,145,144
402,145,188
403,165,188
404,166,168
405,168,172
406,168,166
407,172,168
408,188,165
409,188,145
410,188,129
411,209,1509
412,219,1509
413,221,1509
414,222,1509
415,224,1509
416,224,232
417,230,1509
418,232,1509
419,232,224
420,273,1509
421,285,1509
422,317,338
423,338,317
424,368,1509
425,410,1509
426,413,1509
427,413,421
428,421,1509
429,421,413
430,422,1509
431,423,1509
432,426,1509
433,431,1509
434,432,1509
435,433,1509
436,438,1509
437,453,1509
438,453,455
439,455,1509
440,455,453
441,464,1509
442,466,1509
443,540,1509
444,649,677
445,649,656
446,656,677
447,656,649
448,677,656
449,677,649
450,792,795
451,792,1509
452,795,798
453,795,792
454,798,803
455,798,795
456,803,798
457,806,808
458,808,806
459,810,812
460,812,813
461,812,810
462,813,825
463,813,812
