,id_left,id_right
0,217,126
1,458,553
2,1174,694
3,3802,3606
4,399,2471
5,399,2276
6,399,2231
7,399,2212
8,399,1639
9,399,1461
10,775,2644
11,775,2638
12,775,2471
13,108,10
14,139,10
15,1076,48
16,1076,29
17,1675,56
18,1675,48
19,2024,108
20,2305,2043
21,2332,2043
22,2394,2511
23,2394,2043
24,3594,3419
25,3667,3681
26,3681,3701
27,3681,3667
28,3701,3706
29,3701,3681
30,3706,3711
31,3706,3701
32,3711,3719
33,3711,3706
34,3719,3711
35,3731,3750
36,3750,3759
37,3750,3731
38,3759,3767
39,3759,3750
40,3767,3774
41,3767,3759
42,3774,3781
43,3774,3767
44,3781,3774
45,3793,3821
46,3821,3841
47,3821,3793
48,3841,3821
49,3877,3900
50,3900,3922
51,3900,3877
52,3904,5087
53,3904,3925
54,3922,3940
55,3922,3900
56,3925,3942
57,3925,3904
58,3940,3922
59,3942,3925
60,4002,4047
61,4047,4002
62,4070,4084
63,4084,4098
64,4084,4070
65,4098,4084
66,4149,4164
67,4164,4180
68,4164,4149
69,4180,4213
70,4180,4164
71,4213,4180
72,4245,4267
73,4267,4287
74,4267,4245
75,4287,4303
76,4287,4267
77,4303,4321
78,4303,4287
79,4321,4338
80,4321,4303
81,4338,4353
82,4338,4321
83,4353,4372
84,4353,4338
85,4368,5301
86,4372,4392
87,4372,4353
88,4392,4409
89,4392,4372
90,4409,4425
91,4409,4392
92,4425,4460
93,4425,4409
94,4460,4425
95,4520,4573
96,4573,4755
97,4573,4520
98,4755,4797
99,4755,4573
100,4797,4812
101,4797,4755
102,4812,5178
103,4812,4797
104,5009,5028
105,5009,5301
106,5028,5050
107,5028,5009
108,5050,5061
109,5050,5028
110,5061,5080
111,5061,5050
112,5080,5085
113,5080,5061
114,5085,5109
115,5085,5080
116,5087,5123
117,5087,3904
118,5109,5121
119,5109,5085
120,5121,5133
121,5121,5109
122,5123,5129
123,5123,5087
124,5129,5182
125,5129,5123
126,5133,5121
127,5150,5156
128,5156,5187
129,5156,5150
130,5178,5473
131,5178,4812
132,5182,5203
133,5182,5129
134,5187,5156
135,5195,5208
136,5203,5211
137,5203,5182
138,5208,5213
139,5208,5195
140,5211,5249
141,5211,5203
142,5213,5221
143,5213,5208
144,5221,5233
145,5221,5213
146,5233,5221
147,5239,5265
148,5249,5269
149,5249,5211
150,5265,5275
151,5265,5239
152,5269,5332
153,5269,5249
154,5275,5294
155,5275,5265
156,5294,5275
157,5301,5009
158,5301,4368
159,5319,5344
160,5332,5352
161,5332,5269
162,5344,5348
163,5344,5319
164,5348,5344
165,5352,5366
166,5352,5332
167,5366,5374
168,5366,5352
169,5372,5379
170,5374,5381
171,5374,5366
172,5379,5393
173,5379,5372
174,5381,5374
175,5381,5453
176,5393,5398
177,5393,5379
178,5398,5413
179,5398,5393
180,5413,5430
181,5413,5398
182,5430,5441
183,5430,5413
184,5441,5446
185,5441,5430
186,5446,5449
187,5446,5441
188,5449,5461
189,5449,5446
190,5453,5381
191,5461,5472
192,5461,5449
193,5472,5478
194,5472,5461
195,5473,5178
196,5478,5484
197,5478,5472
198,5484,5497
199,5484,5478
200,5497,5502
201,5497,5484
202,5502,5515
203,5502,5497
204,5515,5521
205,5515,5502
206,5521,5527
207,5521,5515
208,5527,5532
209,5527,5521
210,5532,5537
211,5532,5527
212,5537,5540
213,5537,5532
214,5540,5545
215,5540,5537
216,5545,5554
217,5545,5540
218,5554,5559
219,5554,5545
220,5559,5563
221,5559,5554
222,5563,5575
223,5563,5559
224,5575,5582
225,5575,5563
226,5582,5586
227,5582,5575
228,5586,5582
229,5597,5604
230,5604,5597
231,5622,5629
232,5629,5622
233,5645,5649
234,5649,5651
