,id_left,id_right
0,48,233
1,233,48
2,574,1974
3,644,1974
4,1243,1974
5,1974,574
6,1974,1243
7,1974,644
8,1974,5311
9,45,100
10,45,4690
11,100,114
12,100,45
13,112,4194
14,112,116
15,114,100
16,116,112
17,128,183
18,164,169
19,169,176
20,169,164
21,176,169
22,183,128
23,183,337
24,330,4194
25,337,354
26,337,183
27,354,357
28,354,337
29,357,354
30,435,461
31,438,4194
32,461,435
33,640,666
34,656,4194
35,666,700
36,666,640
37,700,666
38,715,736
39,736,715
40,736,869
41,869,736
42,869,4697
43,1456,1718
44,1462,4194
45,1547,1718
46,1560,4194
47,1566,1718
48,1569,1718
49,1635,1646
50,1644,1668
51,1646,1635
52,1650,1659
53,1659,1650
54,1668,1685
55,1668,1644
56,1685,1691
57,1685,1668
58,1691,1685
59,1718,1569
60,1718,1566
61,1718,1547
62,1718,1456
63,1720,4194
64,1914,4194
65,1956,2297
66,1965,2297
67,2018,2297
68,2037,2040
69,2040,2037
70,2052,2297
71,2061,2368
72,2063,2070
73,2066,2081
74,2070,2063
75,2074,2078
76,2075,2297
77,2078,2081
78,2078,2074
79,2079,2082
80,2081,2066
81,2081,2078
82,2082,2084
83,2082,2079
84,2084,2082
85,2142,2368
86,2149,2297
87,2177,4194
88,2215,2297
89,2253,4194
90,2255,2258
91,2256,2260
92,2258,2255
93,2260,2269
94,2260,2256
95,2266,2297
96,2269,2260
97,2274,2368
98,2297,2266
99,2297,2215
100,2297,2149
101,2297,2075
102,2297,2052
103,2297,2018
104,2297,1965
105,2297,1956
106,2346,2349
107,2349,2346
108,2349,2368
109,2363,2368
110,2368,2363
111,2368,2349
112,2368,2274
113,2368,2142
114,2368,2061
115,2526,2534
116,2534,2526
117,2714,4194
118,2853,4194
119,2857,4194
120,2871,4194
121,2873,4194
122,3031,3107
123,3038,3107
124,3057,3107
125,3103,3107
126,3104,3107
127,3106,3107
128,3107,3104
129,3107,3057
130,3107,3031
131,3107,3103
132,3107,3106
133,3107,3038
134,3116,3124
135,3117,3124
136,3124,3117
137,3124,3129
138,3124,3116
139,3129,3124
140,3149,3157
141,3157,3165
142,3157,3149
143,3158,3161
144,3161,3158
145,3165,3178
146,3165,3157
147,3178,3165
148,3258,4194
149,3302,4194
150,3333,4194
151,3733,3755
152,3755,3733
153,4064,4194
154,4194,4697
155,4194,4204
156,4194,4064
157,4194,3333
158,4194,3302
159,4194,3258
160,4194,2853
161,4194,2873
162,4194,2871
163,4194,2857
164,4194,2714
165,4194,2253
166,4194,2177
167,4194,1914
168,4194,1720
169,4194,1560
170,4194,1462
171,4194,656
172,4194,438
173,4194,330
174,4194,112
175,4204,4205
176,4204,4194
177,4205,4211
178,4205,4204
179,4211,4217
180,4211,4205
181,4217,4220
182,4217,4211
183,4220,4217
184,4227,4232
185,4232,4250
186,4232,4227
187,4250,4255
188,4250,4232
189,4255,4257
190,4255,4250
191,4257,4260
192,4257,4255
193,4260,4262
194,4260,4257
195,4262,4266
196,4262,4260
197,4266,4262
198,4274,4280
199,4280,4274
200,4288,4292
201,4292,5311
202,4292,4288
203,4642,5311
204,4683,5311
205,4683,4691
206,4691,4683
207,4698,5311
208,4702,5311
209,4702,4706
210,4706,5311
211,4706,4707
212,4706,4702
213,4707,4706
214,4723,5311
215,4729,4731
216,4731,4729
217,4732,4738
218,4738,4732
219,5138,5311
220,5311,1974
221,5311,5138
222,5311,4723
223,5311,4706
224,5311,4702
225,5311,4698
226,5311,4683
227,5311,4642
228,5311,4292
229,86,4419
230,86,4582
231,509,4419
232,585,616
233,592,616
234,616,592
235,616,585
236,797,815
237,815,822
238,815,797
239,821,825
240,822,815
241,823,827
242,825,841
243,825,842
244,825,821
245,827,838
246,827,823
247,838,827
248,841,825
249,842,825
250,908,971
251,908,911
252,911,913
253,911,908
254,913,917
255,913,911
256,917,918
257,917,913
258,918,922
259,918,917
260,922,925
261,922,918
262,925,922
263,946,4419
264,947,950
265,948,4419
266,950,947
267,971,908
268,976,4419
269,976,979
270,979,4419
271,979,976
272,982,4419
273,988,1000
274,988,992
275,992,4419
276,992,995
277,992,988
278,995,4419
279,995,1000
280,995,992
281,1000,4419
282,1000,1004
283,1000,995
284,1000,988
285,1002,4419
286,1004,4419
287,1004,1000
288,1015,4419
289,1021,4419
290,1025,4419
291,1025,1036
292,1033,4419
293,1036,4419
294,1036,1025
295,1039,4419
296,1051,4419
297,1053,4419
298,1054,4419
299,1054,1058
300,1058,4419
301,1058,1054
302,1059,4419
303,1064,4419
304,1064,1069
305,1069,4419
306,1069,1064
307,1070,4419
308,1082,4419
309,1083,4419
310,1085,4419
311,1090,4419
312,1091,4419
313,1134,4419
314,1340,4419
315,1340,1341
316,1341,4419
317,1341,1346
318,1341,1340
319,1346,4419
320,1346,1351
321,1346,1341
322,1347,4419
323,1351,4419
324,1351,1346
325,1359,4419
326,1359,1363
327,1360,4419
328,1363,4419
329,1363,1359
330,1400,4419
331,1473,4419
332,1599,4419
333,1631,1678
334,1631,1633
335,1633,1634
336,1633,1631
337,1634,1633
338,1642,1643
339,1643,1642
340,1648,1650
341,1650,1648
342,1651,1678
343,1678,1651
344,1678,1631
345,1789,4419
346,1806,4419
347,1821,1825
348,1821,4419
349,1825,1821
350,1825,4419
351,1935,4419
352,2140,2277
353,2203,2277
354,2277,2140
355,2277,2203
356,2459,4419
357,2515,2721
358,2516,4419
359,2537,2721
360,2544,2721
361,2562,2721
362,2621,4419
363,2721,2562
364,2721,2544
365,2721,2537
366,2721,2515
367,2763,4419
368,2999,3362
369,3191,4419
370,3219,4419
371,3291,3362
372,3317,3362
373,3331,4302
374,3346,4302
375,3356,3362
376,3362,3356
377,3362,3317
378,3362,3291
379,3362,2999
380,3379,4302
381,3436,4419
382,3517,4419
383,3560,4697
384,3672,3781
385,3781,3672
386,3887,4302
387,3929,4302
388,4041,4047
389,4047,4041
390,4047,4302
391,4048,4697
392,4081,4302
393,4104,4302
394,4139,4302
395,4150,4302
396,4190,4302
397,4197,4199
398,4199,4197
399,4201,4302
400,4210,4215
401,4210,4302
402,4215,4210
403,4219,4697
404,4222,4302
405,4224,4302
406,4226,4697
407,4240,4697
408,4244,4697
409,4275,4281
410,4280,4302
411,4280,4282
412,4281,4275
413,4282,4302
414,4282,4280
415,4296,4302
416,4299,4302
417,4299,4306
418,4302,4224
419,4302,4222
420,4302,4210
421,4302,4201
422,4302,4190
423,4302,4150
424,4302,4139
425,4302,4104
426,4302,4081
427,4302,4047
428,4302,3929
429,4302,3887
430,4302,3379
431,4302,3346
432,4302,3331
433,4302,4299
434,4302,4296
435,4302,4282
436,4302,4280
437,4306,4299
438,4419,3219
439,4419,3191
440,4419,2763
441,4419,2621
442,4419,1789
443,4419,1599
444,4419,1400
445,4419,1360
446,4419,509
447,4419,3517
448,4419,3436
449,4419,2516
450,4419,2459
451,4419,1935
452,4419,1825
453,4419,1821
454,4419,1806
455,4419,1473
456,4419,1363
457,4419,1359
458,4419,1351
459,4419,1346
460,4419,1347
461,4419,1341
462,4419,1340
463,4419,1134
464,4419,1090
465,4419,1091
466,4419,1083
467,4419,1085
468,4419,1082
469,4419,1070
470,4419,1069
471,4419,1064
