,id_left,id_right
0,16854,16731
1,16854,16592
2,16854,16509
3,16854,16449
4,16854,15302
5,16854,14634
6,16854,14616
7,16854,9394
8,16854,7499
9,16854,7350
10,16854,6588
11,16854,6358
12,16854,10865
13,16566,593
14,16579,680
15,16616,24
16,16628,81
17,16754,16854
18,16841,16853
19,16853,16841
20,16854,16867
21,16854,16754
22,16867,16854
23,17,80
24,22,25
25,25,22
26,71,76
27,76,82
28,76,71
29,80,166
30,80,17
31,82,76
32,86,90
33,90,86
34,112,140
35,140,112
36,150,157
37,157,159
38,157,150
39,159,162
40,159,157
41,162,168
42,162,159
43,166,178
44,166,80
45,168,190
46,168,162
47,178,182
48,178,166
49,182,257
50,182,178
51,190,269
52,190,168
53,257,261
54,257,182
55,261,265
56,261,257
57,265,261
58,269,299
59,269,190
60,276,280
61,280,286
62,280,276
63,286,290
64,286,280
65,290,286
66,299,350
67,299,269
68,332,351
69,350,360
70,350,299
71,351,332
72,360,365
73,360,350
74,365,465
75,365,360
76,387,392
77,392,387
78,408,428
79,428,440
80,428,408
81,440,467
82,440,428
83,465,489
84,465,365
85,467,440
86,467,3154
87,489,495
88,489,465
89,495,508
90,495,489
91,508,511
92,508,495
93,511,517
94,511,508
95,517,523
96,517,511
97,523,534
98,523,517
99,534,548
100,534,523
101,548,553
102,548,534
103,553,555
104,553,548
105,555,560
106,555,553
107,560,565
108,560,555
109,565,560
110,573,576
111,576,573
112,576,579
113,579,581
114,579,576
115,581,585
116,581,579
117,585,589
118,585,581
119,589,602
120,589,585
121,602,603
122,602,589
123,603,602
124,610,613
125,613,614
126,613,610
127,614,613
128,620,624
129,624,620
130,636,652
131,652,654
132,652,636
133,654,658
134,654,652
135,658,661
136,658,654
137,661,663
138,661,658
139,663,669
140,663,661
141,669,679
142,669,663
143,679,682
144,679,669
145,682,685
146,682,679
147,685,682
148,690,692
149,692,696
150,692,690
151,696,701
152,696,692
153,701,703
154,701,696
155,703,706
156,703,701
157,706,708
158,706,703
159,708,713
160,708,706
161,713,716
162,713,708
163,716,713
164,724,771
165,745,780
166,756,816
167,771,815
168,771,724
169,780,794
170,780,745
171,794,809
172,794,780
173,809,826
174,809,794
175,815,852
176,815,771
177,816,853
178,816,756
179,826,809
180,852,971
181,852,815
182,853,866
183,853,816
184,862,874
185,866,893
186,866,853
187,874,883
188,874,862
189,883,874
190,893,1000
191,893,866
192,924,944
193,944,961
194,944,924
195,961,984
196,961,944
197,971,988
198,971,852
199,984,1038
200,984,961
201,988,1019
202,988,971
203,1000,1175
204,1000,893
205,1019,1049
206,1019,988
207,1038,1144
208,1038,984
209,1049,1019
210,1078,1784
211,1144,1317
212,1144,1038
213,1175,1211
214,1175,1000
215,1211,1297
216,1211,1175
217,1297,1321
218,1297,1211
219,1317,1357
220,1317,1144
221,1321,1297
222,1327,1441
223,1357,1509
224,1357,1317
225,1389,1673
226,1421,1441
227,1441,1421
228,1441,1327
229,1509,1357
230,1570,1595
231,1595,1605
232,1595,1570
233,1605,1595
234,1620,2601
235,1637,1649
236,1649,1660
237,1649,1637
238,1660,1649
239,1667,1691
240,1673,1702
241,1673,1389
242,1691,1667
243,1693,1699
244,1699,1693
245,1702,1673
246,1743,1943
247,1750,1755
248,1755,1750
249,1784,1799
250,1784,1078
251,1799,1839
252,1799,1784
253,1822,1832
254,1830,1840
255,1832,1842
256,1832,1822
257,1839,3469
258,1839,1799
259,1840,1830
260,1842,1864
261,1842,1832
262,1861,1869
263,1864,1842
264,1869,1878
265,1869,1861
266,1871,1880
267,1878,1905
268,1878,1869
269,1880,1892
270,1880,1871
271,1892,1899
272,1892,1880
273,1897,1904
274,1899,1915
275,1899,1892
276,1904,1920
277,1904,1897
278,1905,1878
279,1915,1922
280,1915,1899
281,1920,1904
282,1922,1932
283,1922,1915
284,1928,1930
285,1930,3469
286,1930,1928
287,1932,1935
288,1932,1922
289,1935,1942
290,1935,1932
291,1942,1944
292,1942,1935
293,1943,1959
294,1943,1743
295,1944,2594
296,1944,1942
297,1959,1963
298,1959,1943
299,1963,1966
300,1963,1959
301,1966,1970
302,1966,1963
303,1970,1977
304,1970,1966
305,1977,1981
306,1977,1970
307,1981,1986
308,1981,1977
309,1986,2012
310,1986,1981
311,2012,2021
312,2012,1986
313,2021,2114
314,2021,2012
315,2042,2056
316,2043,2056
317,2043,2058
318,2055,2200
319,2056,2042
320,2056,2043
321,2058,2069
322,2058,2043
323,2069,2112
324,2069,2058
325,2112,2153
326,2112,2069
327,2114,2160
328,2114,2021
329,2153,2112
330,2160,2239
331,2160,2114
332,2186,2313
333,2200,2666
334,2200,2055
335,2235,2279
336,2239,2317
337,2239,2160
338,2265,2304
339,2272,2310
340,2279,2314
341,2279,2235
342,2304,2265
343,2310,2386
344,2310,2272
345,2313,2186
346,2313,2594
347,2314,2346
348,2314,2279
349,2317,2393
350,2317,2239
351,2339,2361
352,2346,2390
353,2346,2314
354,2361,2739
355,2361,2339
356,2386,2863
357,2386,2310
358,2390,2346
359,2393,2456
360,2393,2317
361,2455,2482
362,2456,3162
363,2456,2393
364,2482,2556
365,2482,2455
366,2552,3154
367,2556,2609
368,2556,2482
369,2594,2313
370,2594,1944
371,2601,2758
372,2601,1620
373,2609,2678
374,2609,2556
375,2666,2764
376,2666,2200
377,2678,2710
378,2678,2609
379,2710,2719
380,2710,2678
381,2719,2729
382,2719,2710
383,2729,2937
